City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5106841,Albany,US,42.6001,-73.9662,38.03,91,92,3.13
3833367,Ushuaia,AR,-54.8,-68.3,49.66,46,20,14.97
3838859,Río Gallegos,AR,-51.6226,-69.2181,48.25,71,75,0.0
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,73.26,94,75,6.91
4020109,Atuona,PF,-9.8,-139.0333,78.1,69,23,15.43
3985710,Cabo San Lucas,MX,22.8909,-109.9124,73.33,83,20,3.44
6185377,Yellowknife,CA,62.456,-114.3525,35.49,100,90,3.44
3361934,Saldanha,ZA,-33.0117,17.9442,66.78,68,14,13.94
3366880,Hermanus,ZA,-34.4187,19.2345,73.9,71,48,10.98
110690,Faya,SA,18.3851,42.4509,72.12,33,6,8.34
2019135,Nizhniy Kuranakh,RU,58.8353,125.4869,30.24,77,98,9.4
2269142,Colares,PT,38.7992,-9.4469,66.24,56,0,3.0
656820,Iisalmi,FI,63.5592,27.1907,42.82,92,100,5.55
3430863,Mar del Plata,AR,-38.0023,-57.5575,60.82,100,26,4.61
2094342,Kavieng,PG,-2.5744,150.7967,83.79,73,48,9.91
2511440,San Bartolomé de Tirajana,ES,27.9248,-15.5733,63.3,60,75,20.71
3420768,Qasigiannguit,GL,68.8193,-51.1922,12.45,79,100,5.88
1526038,Atbasar,KZ,51.8,68.3333,43.48,29,95,18.86
4030556,Rikitea,PF,-23.1203,-134.9692,73.35,81,16,4.72
1507390,Dikson,RU,73.5069,80.5464,2.59,95,65,6.58
1736405,Jertih,MY,5.7336,102.4897,82.11,81,86,3.96
2961459,Skibbereen,IE,51.55,-9.2667,57.0,91,100,15.59
2178753,Kirakira,SB,-10.4544,161.9205,80.33,82,99,6.02
4035715,Avarua,CK,-21.2078,-159.775,73.45,73,40,5.75
2165478,Gladstone,AU,-23.85,151.25,76.93,73,0,9.22
1283285,Jumla,NP,29.2747,82.1838,60.15,49,1,6.46
3652764,Puerto Ayora,EC,-0.7393,-90.3518,67.55,95,19,1.01
1633070,Palembang,ID,-2.9167,104.7458,82.49,78,40,6.91
5742974,North Bend,US,43.4065,-124.2243,59.56,97,90,4.61
5546220,Saint George,US,37.1041,-113.5841,48.69,76,1,3.44
1215502,Banda Aceh,ID,5.5577,95.3222,82.31,77,98,5.88
602913,Skellefteå,SE,64.7507,20.9528,39.56,100,0,8.05
6165406,Thompson,CA,55.7435,-97.8558,40.66,98,100,3.31
4231997,Avera,US,33.194,-82.5271,49.77,50,100,8.14
2126199,Cherskiy,RU,68.75,161.3,-17.61,96,84,4.81
3874787,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,1.14
60019,Eyl,SO,7.9803,49.8164,85.73,45,0,17.11
3149577,Kolvereid,NO,64.8655,11.6047,49.23,87,89,9.8
1015776,Bredasdorp,ZA,-34.5322,20.0403,81.63,45,20,7.27
2019488,Namtsy,RU,62.7161,129.6658,30.31,86,99,8.14
2126710,Beringovskiy,RU,63.05,179.3167,6.31,81,32,10.02
5870133,Nome,US,64.5011,-165.4064,19.45,74,90,5.75
2738381,Lata,PT,40.1629,-8.3327,63.48,38,33,3.76
4021858,Guerrero Negro,MX,27.9769,-114.0611,66.33,57,0,1.32
2206939,Bluff,NZ,-46.6,168.3333,55.13,86,84,4.52
5866583,Saint Paul Harbor,US,57.79,-152.4072,36.54,84,94,5.03
2071860,Esperance,AU,-33.8667,121.9,55.08,72,75,13.42
